REPORT_DATE,ATL_OR_DR,CAMPAIGN_TYPE ,CHANNEL,COST,FREE TRIALS
8/2/2022,ATL - Above The Line,Launch,paid social,16.28,9930.38
1/2/2024,ATL - Above The Line,Title,olv,6983.36,37931.96
1/5/2024,ATL - Above The Line,Title,partnership,16234.73,41744.52
4/26/2023,ATL - Above The Line,Title,partnership,44.62,10646.41
1/12/2024,ATL - Above The Line,Brand,olv,513.22,29666.12
1/14/2024,ATL - Above The Line,Title,olv,9709.62,11071
5/4/2023,ATL - Above The Line,Brand,digital audio,130236.96,111261.95
1/18/2024,ATL - Above The Line,Brand,tv,3297.16,8797.72
1/28/2024,ATL - Above The Line,Title,olv,853.4,14308.15
1/26/2024,ATL - Above The Line,Brand,paid social,2282.79,8075.18
1/23/2024,ATL - Above The Line,Brand,tv,37985.81,7063.36
9/1/2022,ATL - Above The Line,Launch,paid social,989.6,136000.57
9/10/2022,ATL - Above The Line,Launch,paid social,750.49,47516.71
2/16/2024,ATL - Above The Line,Title,bvod,1328.65,31734.23
2/17/2024,ATL - Above The Line,Brand,partnership,568.22,14269.74
3/5/2024,ATL - Above The Line,Title,cinema,3962.81,68512.08
10/11/2022,ATL - Above The Line,Title,bvod,59627.16,12061.2
7/9/2023,ATL - Above The Line,Title,partnership,5689.91,61111.29
7/14/2023,ATL - Above The Line,Title,ooh,2013.81,11490.96
3/31/2024,ATL - Above The Line,Brand,partnership,1875.37,14443.53
7/29/2023,ATL - Above The Line,Brand,partnership,188.99,58982.09
8/5/2023,ATL - Above The Line,Title,ooh,15635.8,65568.45
4/19/2024,ATL - Above The Line,Title,olv,2759.45,50196.4
8/11/2023,ATL - Above The Line,Brand,partnership,2292.77,9620.23
8/8/2023,ATL - Above The Line,Title,tv,1011471.02,17612.68
8/7/2023,ATL - Above The Line,Brand,radio,5445.48,32267.19
8/16/2023,ATL - Above The Line,Title,ooh,817.53,11761.84
12/5/2022,ATL - Above The Line,Brand,paid social,1471,109043.57
8/30/2023,ATL - Above The Line,Title,cinema,25241.77,2478.24
8/31/2023,ATL - Above The Line,Title,cinema,3896.14,12624.17
8/30/2023,ATL - Above The Line,Title,olv,236.79,16536.85
12/23/2022,ATL - Above The Line,Title,online display,16689.15,1590.79
10/13/2023,ATL - Above The Line,Title,partnership,950.77,6795.6
11/7/2023,ATL - Above The Line,Title,ctv,93398.43,51616.59
11/16/2023,ATL - Above The Line,Title,print,22310.13,28418.97
11/13/2023,ATL - Above The Line,Title,print,1416.38,133556.64
11/22/2023,ATL - Above The Line,Brand,radio,32065.9,129869.82
11/29/2023,ATL - Above The Line,Title,digital audio,3589.49,42564.68
3/26/2023,ATL - Above The Line,Title,olv,14802.64,37745.19
12/6/2023,ATL - Above The Line,Title,partnership,7617.77,29453.45
12/16/2023,ATL - Above The Line,Brand,online display,689.24,1922.56
12/12/2023,ATL - Above The Line,Brand,partnership,993.93,6806.99
12/16/2023,ATL - Above The Line,Title,ctv,20381.6,30497.95
8/29/2022,ATL - Above The Line,Title,online display,1735.43,51139.21
11/28/2022,ATL - Above The Line,Title,radio,1532.55,36863.4
9/29/2023,ATL - Above The Line,Brand,ooh,566.38,11263.27
10/26/2023,ATL - Above The Line,Brand,digital audio,6821.88,70590.37
12/4/2023,ATL - Above The Line,Brand,digital audio,131424.67,121944.05
12/6/2023,ATL - Above The Line,Title,cinema,462.37,70631.68
10/2/2023,DR - Direct Response,Title,paid social,3317.62,74384.16
6/6/2023,ATL - Above The Line,Title,paid social,40634.59,15733.36
5/16/2023,DR - Direct Response,Title,paid social,2750.48,81112.42
3/2/2024,DR - Direct Response,Title,app,7185.54,31908.66
6/28/2023,ATL - Above The Line,Title,paid social,466.68,46051.89
8/29/2023,DR - Direct Response,Title,display,6880.1,39773.78
12/9/2022,ATL - Above The Line,Title,paid social,2265.35,24406.07
1/31/2023,DR - Direct Response,Brand,paid social,18817.64,11636.04
10/18/2022,ATL - Above The Line,Brand,youtube,27079.81,25388.6
12/7/2023,DR - Direct Response,Brand,display,340273.81,74172.75
2/12/2024,DR - Direct Response,Title,paid social,9041.1,17705.69
10/15/2023,DR - Direct Response,Title,ott,5717.89,67538.85
12/5/2023,DR - Direct Response,Title,display,4510.45,57740.49
11/5/2023,DR - Direct Response,Brand,pmax,1678.76,20426.86
10/10/2023,DR - Direct Response,Title,ott,5850.35,111011.99
6/29/2022,DR - Direct Response,Brand,ott,1863.25,19299.36
9/25/2023,DR - Direct Response,Brand,ott,4304.26,125304.43
1/20/2024,DR - Direct Response,Title,youtube,34254.68,42610.84
10/25/2022,DR - Direct Response,Title,youtube,516.18,27133.5
6/6/2023,DR - Direct Response,Title,youtube,24854.44,11316.08
2/12/2024,DR - Direct Response,Title,display,34224.86,25233.14
1/1/2023,DR - Direct Response,Title,paid social,2566.17,22472.97
11/18/2022,DR - Direct Response,Brand,paid social,68.94,7803.88
9/10/2023,DR - Direct Response,Brand,app,1060.14,22162.82
9/22/2022,DR - Direct Response,Title,paid social,33004.18,12310.77
5/5/2023,DR - Direct Response,Title,paid social,3047.29,49621.68
10/10/2023,DR - Direct Response,Brand,app,522.97,102193.87
3/16/2023,DR - Direct Response,Title,app,1276.85,8053.41
7/3/2022,DR - Direct Response,Title,paid social,14481.44,153563.44
9/21/2023,DR - Direct Response,Title,ott,8519.83,24233.77
6/7/2023,DR - Direct Response,Title,youtube,2063.19,10368.2
11/3/2023,DR - Direct Response,Title,youtube,1637.88,58950.89
10/11/2022,ATL - Above The Line,Title,paid social,1565.8,17617.49
8/26/2022,DR - Direct Response,Brand,app,600.83,25398.79
5/1/2024,DR - Direct Response,Brand,paid social,58634.27,18378.74
9/28/2023,DR - Direct Response,Brand,display,1774.88,12152.09
10/26/2023,DR - Direct Response,Title,ott,28574.89,56988.3
1/30/2024,DR - Direct Response,Title,app,49478.57,20687.4
12/8/2022,ATL - Above The Line,Title,paid social,19249.85,6525.6
7/10/2022,DR - Direct Response,Title,app,1457.1,47913.23
4/5/2024,ATL - Above The Line,Title,display,6581.56,8227.59
10/30/2022,DR - Direct Response,Brand,display,3040,8670.89
10/6/2023,DR - Direct Response,Brand,display,621.47,91181.98
11/28/2023,DR - Direct Response,Brand,pmax,5703.08,8304.21
7/1/2023,DR - Direct Response,Title,app,378.07,2700.15
5/12/2023,ATL - Above The Line,Title,youtube,27094.15,51491.04
6/26/2022,ATL - Above The Line,Brand,display,1372.84,20326.19
2/13/2023,DR - Direct Response,Brand,app,4565.95,22161.94
5/31/2023,ATL - Above The Line,Title,youtube,5295.57,20110.48
3/5/2024,DR - Direct Response,Brand,youtube,1990.13,34780.11
4/5/2023,ATL - Above The Line,Title,youtube,9157.06,12957.97
10/7/2023,DR - Direct Response,Title,display,1347.59,121172.39
7/7/2022,DR - Direct Response,Brand,display,15305.94,6271.62
9/4/2022,DR - Direct Response,Brand,app,279.71,43072.67
8/13/2023,ATL - Above The Line,Brand,display,3989.43,52495.37
7/28/2022,ATL - Above The Line,Brand,display,105145.01,12868.18
10/17/2023,ATL - Above The Line,Title,youtube,522,9873.8
5/23/2023,DR - Direct Response,Brand,app,934.43,76470.14
10/31/2023,ATL - Above The Line,Title,youtube,8029.68,10204.79
9/9/2022,DR - Direct Response,Brand,app,4391.54,15002.3
5/6/2023,ATL - Above The Line,Title,youtube,5980.03,67131.04
1/28/2023,ATL - Above The Line,Brand,paid social,7679.26,28546.31
3/7/2023,DR - Direct Response,Brand,display,9986.32,4545.61
8/8/2023,DR - Direct Response,Title,display,23536.75,159010.33
10/18/2022,DR - Direct Response,Brand,app,6654.29,16201.21
1/28/2023,DR - Direct Response,Brand,youtube,2054.54,18406.8
8/14/2023,ATL - Above The Line,Title,youtube,10692.48,35631.58
9/11/2023,ATL - Above The Line,Brand,paid social,97989.43,51605.58
4/21/2024,ATL - Above The Line,Title,display,2499.58,197088.88
2/9/2023,ATL - Above The Line,Brand,paid social,546.88,5215.56
4/12/2023,ATL - Above The Line,Title,ooh,23425.74,63124.33
8/14/2022,ATL - Above The Line,Launch,print,2555.48,58085.47
1/1/2024,ATL - Above The Line,Brand,cinema,62.9,24025.3
1/8/2024,ATL - Above The Line,Title,ooh,14660.33,60722.36
5/12/2023,ATL - Above The Line,Title,cinema,1208.34,70368.95
5/11/2023,ATL - Above The Line,Title,cinema,2696.93,6893.54
1/27/2024,ATL - Above The Line,Title,bvod,5782.07,159442.71
5/16/2023,ATL - Above The Line,Title,cinema,4478.94,5773.37
9/5/2022,ATL - Above The Line,Title,cinema,11428.46,8828.36
2/7/2024,ATL - Above The Line,Title,print,1446.96,21202.34
2/15/2024,ATL - Above The Line,Title,olv,8018.07,190068.17
2/14/2024,ATL - Above The Line,Brand,partnership,1987.83,20236.82
2/19/2024,ATL - Above The Line,Title,ooh,12050.42,26699.72
10/2/2022,ATL - Above The Line,Title,online display,9643.48,115936.91
6/15/2023,ATL - Above The Line,Title,ooh,586.87,20398.59
6/6/2023,ATL - Above The Line,Title,ooh,22550.38,8454.68
3/1/2024,ATL - Above The Line,Title,cinema,1206.96,18141.45
6/21/2023,ATL - Above The Line,Brand,partnership,13654.82,109024.87
6/23/2023,ATL - Above The Line,Title,bvod,6162.56,29599.57
10/12/2022,ATL - Above The Line,Title,print,87662.38,191161.32
6/29/2023,ATL - Above The Line,Title,cinema,2121.6,57790.57
10/30/2022,ATL - Above The Line,Title,cinema,1690.47,14439.17
7/13/2023,ATL - Above The Line,Title,cinema,3066.32,29017.87
3/31/2024,ATL - Above The Line,Title,cinema,1837.27,11715.49
11/5/2022,ATL - Above The Line,Brand,bvod,13456.24,14101.05
11/5/2022,ATL - Above The Line,Title,ctv,171.71,2463082.34
7/23/2023,ATL - Above The Line,Brand,partnership,474.07,76581.46
7/17/2023,ATL - Above The Line,Title,digital audio,462.14,65389.2
7/19/2023,ATL - Above The Line,Title,radio,17652.13,14755.82
8/5/2023,ATL - Above The Line,Title,cinema,69632.09,133081.68
11/23/2022,ATL - Above The Line,Title,bvod,2630.03,83045.43
12/11/2022,ATL - Above The Line,Brand,paid social,2341.53,181986.77
12/30/2022,ATL - Above The Line,Brand,tv,3603.75,173344.63
10/2/2023,ATL - Above The Line,Brand,ctv,25861.27,6253.67
10/4/2023,ATL - Above The Line,Brand,print,595.49,9056.86
10/10/2023,ATL - Above The Line,Brand,online display,4883.15,10073.33
10/13/2023,ATL - Above The Line,Brand,print,18463.27,10696.51
10/12/2023,ATL - Above The Line,Title,olv,7846.1,38133.87
10/12/2023,ATL - Above The Line,Title,radio,4471.52,15614.24
2/2/2023,ATL - Above The Line,Brand,radio,19345.13,220408.5
2/4/2023,ATL - Above The Line,Title,print,24.14,186244.73
10/16/2023,ATL - Above The Line,Title,olv,10795.29,27390.65
2/9/2023,ATL - Above The Line,Title,online display,975.22,195949.98
11/4/2023,ATL - Above The Line,Title,cinema,116.62,122642.05
3/3/2023,ATL - Above The Line,Brand,ooh,7990.57,17542.52
6/26/2022,ATL - Above The Line,Title,online display,37902.4,3674.64
11/26/2023,ATL - Above The Line,Brand,online display,2477.95,22154.98
12/3/2023,ATL - Above The Line,Brand,ooh,17734.11,14441.87
12/2/2023,ATL - Above The Line,Title,cinema,58307.37,33913.26
11/27/2023,ATL - Above The Line,Brand,print,34089.18,30149.79
12/9/2023,ATL - Above The Line,Brand,digital audio,61295.28,29367.51
3/30/2023,ATL - Above The Line,Title,online display,12122.78,46615.56
3/27/2023,ATL - Above The Line,Title,ooh,3638.93,8170.52
7/24/2022,ATL - Above The Line,Launch,print,176.21,41648.85
12/23/2023,ATL - Above The Line,Title,ooh,2036.8,17738.74
12/24/2023,ATL - Above The Line,Title,tv,693.12,33692.09
2/22/2024,ATL - Above The Line,Title,cinema,159833.14,72020.96
12/10/2022,ATL - Above The Line,Brand,tv,2311.86,8073.76
1/1/2023,ATL - Above The Line,Brand,bvod,3966.63,20791.56
9/19/2023,ATL - Above The Line,Title,olv,8593.22,24478.47
10/8/2023,ATL - Above The Line,Brand,ctv,3435.74,16459.04
12/24/2023,ATL - Above The Line,Brand,paid social,67703.32,67979.39
3/13/2024,ATL - Above The Line,Brand,paid social,1032.14,13385.06
8/19/2022,DR - Direct Response,Title,paid social,4512.27,15793.85
8/17/2023,ATL - Above The Line,Title,paid social,831.4,13526.35
2/19/2024,DR - Direct Response,Title,app,293.13,82434.63
9/16/2022,DR - Direct Response,Title,paid social,1052.61,16823.3
6/10/2023,DR - Direct Response,Title,paid social,2970.34,43733.07
8/31/2023,DR - Direct Response,Title,display,1463.21,199996.38
8/18/2022,DR - Direct Response,Brand,paid social,910,25575.64
10/26/2022,DR - Direct Response,Title,app,250.85,84105.4
12/3/2023,ATL - Above The Line,Title,youtube,2733.33,147383.44
3/3/2023,DR - Direct Response,Brand,display,210.03,77242.34
8/11/2023,DR - Direct Response,Brand,app,12521.51,27108.06
7/2/2022,ATL - Above The Line,Brand,paid social,3685.24,52494.67
11/28/2022,DR - Direct Response,Brand,paid social,228.69,7579.54
10/11/2022,DR - Direct Response,Title,app,1817.39,12607.67
12/21/2023,DR - Direct Response,Title,paid social,816.99,15032.25
11/26/2023,DR - Direct Response,Title,paid social,5649.95,260863.93
7/31/2023,DR - Direct Response,Title,paid social,35697.23,12202.82
8/5/2023,ATL - Above The Line,Brand,display,107.61,12021.9
8/1/2023,DR - Direct Response,Brand,app,3908.5,9675.9
4/16/2024,ATL - Above The Line,Title,paid social,2378.54,48335.65
3/23/2023,DR - Direct Response,Brand,app,10668.7,31808.41
4/24/2023,DR - Direct Response,Brand,ott,4666.24,81997.88
11/17/2023,DR - Direct Response,Brand,app,817.27,54052.23
11/2/2022,DR - Direct Response,Title,paid social,1785.38,6904.43
5/21/2023,ATL - Above The Line,Title,paid social,754.79,12267.94
7/14/2023,DR - Direct Response,Brand,display,22148,108429.11
10/23/2023,DR - Direct Response,Brand,app,3300.25,22483.37
8/30/2023,DR - Direct Response,Brand,paid social,98221.18,90724.54
6/8/2023,DR - Direct Response,Brand,ott,2846.34,23725.58
4/13/2023,DR - Direct Response,Brand,app,884.12,10445.08
7/21/2023,DR - Direct Response,Brand,ott,206.64,20338.48
6/6/2022,ATL - Above The Line,Brand,paid social,122.56,10440.96
12/9/2023,DR - Direct Response,Title,ott,181.98,15633.84
3/16/2023,DR - Direct Response,Brand,app,5143.32,33723.99
10/29/2022,DR - Direct Response,Title,paid social,7954.92,46054.18
1/7/2024,ATL - Above The Line,Title,paid social,182.95,5594.22
4/25/2024,DR - Direct Response,Title,app,15976.11,27092.66
8/19/2022,ATL - Above The Line,Brand,ott,1327.89,15307.02
1/24/2023,DR - Direct Response,Brand,app,4139.17,14387.04
11/22/2022,DR - Direct Response,Title,youtube,58301.3,31492.97
1/5/2024,DR - Direct Response,Brand,display,16028.13,15872.43
2/23/2024,DR - Direct Response,Brand,paid social,1955.85,110272.68
3/23/2024,ATL - Above The Line,Title,ott,635.66,90767.32
1/9/2024,DR - Direct Response,Brand,paid social,65.31,90201.6
1/17/2023,DR - Direct Response,Brand,paid social,867.14,16781.74
6/8/2022,ATL - Above The Line,Brand,paid social,2169.37,10499.25
12/20/2022,DR - Direct Response,Title,app,534.54,29932.89
8/15/2023,DR - Direct Response,Brand,ott,2505.8,23709.7
4/15/2023,DR - Direct Response,Brand,display,3648.26,14969.84
2/23/2023,DR - Direct Response,Brand,app,2116.28,8477.62
11/19/2023,ATL - Above The Line,Brand,display,982.42,26444.3
1/9/2023,DR - Direct Response,Brand,youtube,4305.77,18382.59
8/21/2022,ATL - Above The Line,Title,youtube,7051.52,54986.59
5/1/2023,DR - Direct Response,Brand,display,443.67,53719.65
1/17/2023,ATL - Above The Line,Brand,youtube,40540.22,83160.81
11/25/2023,DR - Direct Response,Brand,pmax,2658.01,7796.07
7/13/2022,DR - Direct Response,Brand,youtube,3285.61,41220.72
10/5/2023,ATL - Above The Line,Title,youtube,11402.96,13290.38
12/3/2022,DR - Direct Response,Brand,app,4837.95,8106.1
1/24/2023,DR - Direct Response,Title,youtube,17742.5,17935.79
12/28/2023,ATL - Above The Line,Brand,olv,5332.37,80526.42
1/2/2024,ATL - Above The Line,Brand,olv,1051.34,18977.43
1/4/2024,ATL - Above The Line,Title,ooh,6098.55,132531.63
8/16/2022,ATL - Above The Line,Title,bvod,402.96,47808.5
8/25/2022,ATL - Above The Line,Launch,digital audio,3863.15,18567.51
8/28/2022,ATL - Above The Line,Launch,digital audio,2990.82,88252.5
5/9/2023,ATL - Above The Line,Brand,radio,2181.2,43095.22
9/1/2022,ATL - Above The Line,Title,bvod,2518.13,10819.31
5/20/2023,ATL - Above The Line,Brand,radio,106.33,177868.95
5/16/2023,ATL - Above The Line,Title,partnership,1179.47,35763.86
1/30/2024,ATL - Above The Line,Brand,partnership,3755.11,28093.41
9/9/2022,ATL - Above The Line,Title,online display,4237.93,11688.32
2/10/2024,ATL - Above The Line,Title,olv,496.86,89994.65
6/2/2023,ATL - Above The Line,Brand,partnership,31191.98,46316.85
6/4/2023,ATL - Above The Line,Brand,partnership,665.02,51821.42
2/20/2024,ATL - Above The Line,Brand,bvod,18272.95,16570.64
2/14/2024,ATL - Above The Line,Title,bvod,6866.3,63642.34
9/28/2022,ATL - Above The Line,Launch,cinema,989.13,68801.43
9/29/2022,ATL - Above The Line,Title,cinema,78257.61,14096.17
4/12/2024,ATL - Above The Line,Title,online display,368.24,6655.56
10/29/2022,ATL - Above The Line,Title,ooh,16686.9,49392.33
3/27/2024,ATL - Above The Line,Brand,partnership,19328.94,5689.53
4/7/2024,ATL - Above The Line,Title,tv,946.53,32109.54
7/21/2023,ATL - Above The Line,Title,digital audio,39211.15,17603.53
7/29/2023,ATL - Above The Line,Title,olv,2022.21,93596.62
8/4/2023,ATL - Above The Line,Title,digital audio,5347.5,18590.73
11/27/2022,ATL - Above The Line,Title,radio,5080.54,83702.49
8/12/2023,ATL - Above The Line,Title,online display,2492.03,16460.02
11/30/2022,ATL - Above The Line,Brand,bvod,13722.78,75163.5
12/2/2022,ATL - Above The Line,Title,tv,13300.41,217715.46
8/20/2023,ATL - Above The Line,Brand,partnership,135.25,9444.57
8/19/2023,ATL - Above The Line,Brand,print,33444.7,36950.98
11/30/2022,ATL - Above The Line,Brand,print,157.98,434280.11
5/1/2024,ATL - Above The Line,Title,olv,20476.93,29472.89
8/29/2023,ATL - Above The Line,Brand,print,24270.41,29331.32
12/19/2022,ATL - Above The Line,Title,tv,443.22,60797.03
9/6/2023,ATL - Above The Line,Title,online display,1512.86,28728.41
10/3/2023,ATL - Above The Line,Brand,partnership,431.58,4974.62
10/28/2023,ATL - Above The Line,Brand,print,2154.57,85829.09
11/2/2023,ATL - Above The Line,Title,bvod,1821.25,3697.81
6/22/2022,ATL - Above The Line,Title,online display,12972.54,18149.52
6/30/2022,ATL - Above The Line,Launch,ooh,33806.96,92547.42
12/18/2023,ATL - Above The Line,Brand,partnership,39439.61,19280.1
7/26/2022,ATL - Above The Line,Launch,bvod,1151.2,13748.24
10/11/2022,ATL - Above The Line,Title,cinema,2176.85,66591.53
12/2/2022,ATL - Above The Line,Brand,paid social,152.12,11740.23
2/2/2023,ATL - Above The Line,Title,print,741.5,8091.38
6/28/2022,ATL - Above The Line,Launch,cinema,18121.68,36307.27
3/27/2023,ATL - Above The Line,Title,online display,58656.2,22947.57
12/16/2023,ATL - Above The Line,Title,tv,342.15,7919.19
7/19/2022,ATL - Above The Line,Title,online display,1089.94,52223.94
1/16/2023,ATL - Above The Line,Brand,youtube,3027.89,43928.36
6/15/2023,DR - Direct Response,Title,app,5265.77,19218.07
11/9/2023,DR - Direct Response,Title,app,736.52,20583.28
3/30/2024,DR - Direct Response,Title,ott,6827.58,44189.31
3/30/2024,ATL - Above The Line,Title,display,1350.18,90976.91
12/22/2022,DR - Direct Response,Brand,paid social,3093.93,20760.32
12/29/2022,DR - Direct Response,Brand,paid social,8512.92,53161.27
11/23/2022,DR - Direct Response,Brand,ott,3212.73,48597.59
12/22/2023,ATL - Above The Line,Title,paid social,1444.62,66594.43
8/26/2022,DR - Direct Response,Brand,paid social,2605.65,28677.4
3/7/2023,DR - Direct Response,Brand,app,2707.52,11041.13
10/23/2022,DR - Direct Response,Brand,app,1628.49,17336.25
4/24/2023,DR - Direct Response,Title,paid social,1990.52,38883.19
3/3/2023,DR - Direct Response,Title,paid social,56890.25,170816.19
3/17/2023,DR - Direct Response,Title,youtube,8740.8,16966.06
12/4/2023,DR - Direct Response,Brand,display,1862.99,61798.44
11/17/2023,DR - Direct Response,Brand,paid social,11173.54,19838.9
6/9/2023,DR - Direct Response,Brand,paid social,1738.42,30798.99
3/30/2024,DR - Direct Response,Brand,paid social,26391.61,126041.81
6/22/2022,DR - Direct Response,Brand,display,6188.81,59338.72
4/13/2023,DR - Direct Response,Brand,paid social,2616.52,7938.06
12/4/2022,DR - Direct Response,Brand,display,7125.42,15525.67
8/17/2023,DR - Direct Response,Brand,paid social,186.39,97189.51
4/24/2024,ATL - Above The Line,Title,paid social,415.48,31784.71
7/8/2022,DR - Direct Response,Brand,ott,368.05,8709.42
9/12/2022,DR - Direct Response,Brand,ott,4110.5,12125.13
10/26/2022,DR - Direct Response,Title,paid social,72439.99,55828.31
2/28/2023,DR - Direct Response,Title,app,178230.37,74743.95
11/1/2023,DR - Direct Response,Brand,display,10046.52,28066.91
12/25/2022,ATL - Above The Line,Brand,youtube,7842.56,330102.39
7/27/2023,DR - Direct Response,Brand,app,123.02,63010.47
5/6/2023,ATL - Above The Line,Title,paid social,1192.43,21595.24
10/13/2023,DR - Direct Response,Brand,paid social,766.1,12164.67
8/29/2022,DR - Direct Response,Title,paid social,1035.5,10369.63
3/1/2024,DR - Direct Response,Brand,paid social,2344.39,38594.42
3/7/2023,DR - Direct Response,Title,app,1354.45,16885.3
4/9/2023,DR - Direct Response,Brand,paid social,89.18,147737.11
8/1/2022,DR - Direct Response,Title,app,12249.99,119986.81
10/24/2022,DR - Direct Response,Brand,paid social,458.04,52020.79
10/7/2023,DR - Direct Response,Brand,app,4890.9,8449.94
4/18/2024,DR - Direct Response,Title,youtube,134195.25,14047.61
3/9/2023,DR - Direct Response,Brand,app,604.12,97136.51
8/8/2023,ATL - Above The Line,Brand,display,32.99,15672.88
7/1/2022,DR - Direct Response,Brand,app,1895.13,84960.12
4/1/2023,DR - Direct Response,Brand,paid social,23168.34,44376.35
4/29/2023,DR - Direct Response,Title,youtube,108895.77,29036.55
11/4/2023,ATL - Above The Line,Brand,paid social,345.13,13622.83
2/22/2024,DR - Direct Response,Title,ott,7784.1,25082.16
12/2/2023,DR - Direct Response,Brand,ott,1371.13,33344.67
4/4/2023,DR - Direct Response,Title,youtube,2622.93,77657.72
12/16/2023,DR - Direct Response,Brand,ott,375639.24,11339.55
1/26/2023,DR - Direct Response,Title,youtube,210.69,21180.47
12/24/2022,DR - Direct Response,Brand,app,5020.53,28836.44
11/26/2023,DR - Direct Response,Brand,app,7387.04,53589
11/13/2022,DR - Direct Response,Brand,app,22542.41,11083.97
9/21/2022,DR - Direct Response,Brand,app,3790.1,7360.84
8/4/2022,DR - Direct Response,Title,app,5537.64,54199.1
11/6/2022,DR - Direct Response,Title,paid social,1566.11,6014.61
8/19/2023,DR - Direct Response,Title,youtube,5161.93,100033.7
4/14/2023,DR - Direct Response,Title,app,1709.26,23577.43
8/19/2022,DR - Direct Response,Brand,app,9752.09,5838.78
12/19/2022,ATL - Above The Line,Title,youtube,1629.67,17027.42
9/25/2023,DR - Direct Response,Brand,pmax,6272.69,40323.75
1/21/2023,ATL - Above The Line,Brand,youtube,3012.32,16157.55
6/14/2022,DR - Direct Response,Brand,paid social,24241.74,28128.19
7/26/2022,DR - Direct Response,Brand,display,2894.36,57914.94
7/12/2023,ATL - Above The Line,Title,youtube,129.4,22508.37
10/24/2023,ATL - Above The Line,Brand,paid social,30979.53,10770.61
3/8/2023,DR - Direct Response,Title,youtube,619.19,20425.91
2/18/2023,DR - Direct Response,Title,youtube,975.77,113949.59
10/10/2022,DR - Direct Response,Brand,display,1083.66,149424.15
3/30/2023,DR - Direct Response,Brand,display,37955.77,3635.38
12/28/2023,ATL - Above The Line,Brand,paid social,67.25,82349.72
1/1/2024,ATL - Above The Line,Title,print,915286.11,35430.71
1/3/2024,ATL - Above The Line,Brand,cinema,21364.62,69646.33
1/3/2024,ATL - Above The Line,Title,ooh,4751.6,15871.85
4/27/2023,ATL - Above The Line,Title,partnership,2876.13,4679.21
1/10/2024,ATL - Above The Line,Brand,olv,5317.28,49546.93
1/10/2024,ATL - Above The Line,Title,partnership,8134.93,10728.35
5/14/2023,ATL - Above The Line,Title,cinema,10177.29,6849.92
1/24/2024,ATL - Above The Line,Title,ooh,8657.35,7347.33
8/30/2022,ATL - Above The Line,Title,cinema,3733.05,50369.93
2/5/2024,ATL - Above The Line,Title,print,2224.05,31707.47
9/21/2022,ATL - Above The Line,Launch,cinema,2416.88,60430.26
9/19/2022,ATL - Above The Line,Title,online display,2233.83,53933.93
9/22/2022,ATL - Above The Line,Title,online display,24581.9,18074.27
2/20/2024,ATL - Above The Line,Title,tv,9271.2,25687.34
2/22/2024,ATL - Above The Line,Title,olv,15.73,16505.85
9/27/2022,ATL - Above The Line,Launch,paid social,10375.48,22325.41
9/26/2022,ATL - Above The Line,Brand,bvod,4513.32,10449.29
6/12/2023,ATL - Above The Line,Title,ooh,3070.25,40785.85
10/6/2022,ATL - Above The Line,Brand,print,1574.98,81046.27
10/14/2022,ATL - Above The Line,Title,cinema,24157.11,12153.61
4/1/2024,ATL - Above The Line,Title,online display,17563.74,99662.15
3/12/2024,ATL - Above The Line,Title,online display,787,30893.44
3/21/2024,ATL - Above The Line,Title,tv,6621.15,35109.89
11/10/2022,ATL - Above The Line,Title,cinema,549.73,5013.67
11/18/2022,ATL - Above The Line,Title,tv,263.23,4499.71
7/17/2023,ATL - Above The Line,Title,tv,1024.59,31856.14
12/2/2022,ATL - Above The Line,Brand,print,15061.92,60872.27
8/22/2023,ATL - Above The Line,Brand,radio,17742.13,14059.43
12/15/2022,ATL - Above The Line,Brand,paid social,8017.77,147197.27
12/22/2022,ATL - Above The Line,Title,online display,11755.77,57617
9/5/2023,ATL - Above The Line,Title,cinema,8062.66,11085.34
9/8/2023,ATL - Above The Line,Title,cinema,997.64,28435.08
1/11/2023,ATL - Above The Line,Brand,digital audio,6925.15,330637.64
9/29/2023,ATL - Above The Line,Brand,olv,13467.6,7928
10/3/2023,ATL - Above The Line,Brand,ctv,12391.9,46830.43
10/4/2023,ATL - Above The Line,Brand,ooh,27154.57,19944.88
10/14/2023,ATL - Above The Line,Brand,radio,11404.8,56019.18
10/11/2023,ATL - Above The Line,Brand,partnership,5988.86,98272.88
10/13/2023,ATL - Above The Line,Title,bvod,21915.08,18714.34
10/20/2023,ATL - Above The Line,Brand,radio,3027.26,84685.37
6/13/2022,ATL - Above The Line,Title,online display,646.44,255834.86
11/17/2023,ATL - Above The Line,Title,online display,2365.98,29463.6
11/19/2023,ATL - Above The Line,Title,ooh,827.76,60577.27
6/24/2022,ATL - Above The Line,Launch,tv,938.77,15248.41
6/30/2022,ATL - Above The Line,Title,bvod,2446.53,28106.46
7/2/2022,ATL - Above The Line,Launch,ooh,759.72,23091.83
7/4/2022,ATL - Above The Line,Title,online display,1821.49,61313.69
3/21/2023,ATL - Above The Line,Title,olv,104.09,92292.52
12/9/2023,ATL - Above The Line,Title,ctv,4667.06,24697.44
12/12/2023,ATL - Above The Line,Brand,ooh,3182.62,128367.12
12/13/2023,ATL - Above The Line,Brand,radio,726.63,127907.61
7/22/2022,ATL - Above The Line,Launch,print,10438.31,64461.64
9/21/2022,ATL - Above The Line,Brand,bvod,17250.91,16430.05
10/4/2023,ATL - Above The Line,Brand,tv,174.44,14924.78
